No.,Date,Time,ADC Value,Status
0,2025-10-04,22:22:49,,OK
2,2025-10-04,22:22:52,,OK
3,2025-10-04,22:22:55,,OK
4,2025-10-04,22:22:57,,NG
5,2025-10-04,22:22:59,,OK
6,2025-10-04,22:23:03,,OK
7,2025-10-04,22:25:08,,OK
8,2025-10-04,22:25:14,,OK
9,2025-10-04,22:25:19,,OK
10,2025-10-04,22:25:22,,OK
11,2025-10-04,22:31:21,"0,0,0,0,0,0,0,0,0",OK
12,2025-10-04,22:31:57,"0,0,0,0,0,0,0,0,0",OK
13,2025-10-04,22:32:03,"0,0,0,0,0,0,0,0,0",OK
14,2025-10-04,22:32:06,"0,0,0,0,0,0,0,0,0",OK
15,2025-10-04,22:32:07,"0,0,0,1,0,0,0,0,0",NG
16,2025-10-04,22:32:10,"0,0,0,0,0,0,0,0,0",OK
17,2025-10-04,22:32:12,"0,0,0,1,0,0,0,0,0",NG
18,2025-10-04,22:32:13,"0,0,0,0,0,0,0,0,0",OK
19,2025-10-04,22:32:14,"0,0,0,1,0,0,0,0,0",NG
20,2025-10-04,22:32:16,"0,0,0,0,0,0,0,0,0",OK
21,2025-10-04,22:32:18,"0,0,0,1,0,0,0,0,0",NG
22,2025-10-04,22:32:20,"0,0,0,0,0,0,0,0,0",OK
23,2025-10-04,22:32:25,"0,0,0,0,0,0,0,0,0",OK
24,2025-10-04,22:32:28,"0,0,0,0,0,0,0,0,0",OK
25,2025-10-04,22:32:41,"0,0,0,0,0,0,0,0,0",OK
26,2025-10-04,22:32:43,"0,0,0,0,0,0,0,0,0",OK
27,2025-10-04,22:32:45,"0,0,0,0,0,1,0,0,0",NG
28,2025-10-04,22:32:46,"0,0,0,0,0,0,0,0,0",OK
29,2025-10-04,22:34:41,"0,0,0,0,0,0,0,0,0",OK
30,2025-10-04,22:34:43,"0,0,0,0,0,0,0,0,0",OK
31,2025-10-04,22:34:46,"0,0,0,0,0,0,0,0,0",OK
32,2025-10-04,22:34:48,"0,0,0,0,0,0,0,0,0",OK
33,2025-10-04,22:34:50,"0,0,0,1,0,0,0,0,0",NG
34,2025-10-04,22:34:51,"0,0,0,0,0,0,0,0,0",OK
35,2025-10-04,22:34:53,"0,0,0,1,0,0,0,0,0",NG
36,2025-10-04,22:34:54,"0,0,0,0,0,0,0,0,0",OK
37,2025-10-04,22:34:58,"0,0,0,0,0,0,0,0,0",OK
38,2025-10-04,22:35:00,"0,0,0,0,0,0,0,0,0",OK
39,2025-10-04,22:35:03,"0,0,0,0,0,0,0,0,0",OK
40,2025-10-04,22:35:40,"0,0,0,0,0,0,0,0,0",OK
41,2025-10-04,22:35:44,"0,0,0,0,0,0,0,0,0",OK
42,2025-10-04,22:35:48,"0,0,0,0,0,0,0,0,0",OK
43,2025-10-04,22:35:50,"0,0,0,0,1,0,0,0,0",NG
44,2025-10-04,22:35:52,"0,0,0,0,0,0,0,0,0",OK
45,2025-10-04,22:39:11,"0,0,0,0,0,0,0,0,0",OK
46,2025-10-04,22:39:30,"0,0,0,0,0,0,0,0,0",OK
47,2025-10-04,22:48:31,"0,0,0,0,0,0,0,0,0",OK
48,2025-10-04,22:48:42,"0,0,0,0,0,0,0,0,0",OK
49,2025-10-04,22:48:46,"0,0,0,0,0,0,0,0,0",OK
50,2025-10-04,22:48:49,"0,0,0,0,0,0,0,0,0",OK
51,2025-10-04,22:48:54,"1,0,0,0,0,0,0,0,0",NG
52,2025-10-04,22:48:58,"1,0,0,0,0,0,0,0,0",NG
53,2025-10-04,22:49:00,"1,0,0,0,0,0,0,0,0",NG
54,2025-10-04,22:49:04,"0,0,0,0,0,0,0,0,0",OK
55,2025-10-04,22:49:08,"0,0,0,0,0,0,0,0,0",OK
56,2025-10-04,22:58:05,"0,1,0,0,0,0,0,0,0",NG
57,2025-10-04,22:58:08,"0,0,0,0,0,0,0,0,0",OK
58,2025-10-04,22:58:08,"0,1,0,0,0,0,0,0,0",NG
59,2025-10-04,22:58:10,"0,0,0,0,0,0,0,0,0",OK
60,2025-10-04,23:04:24,"0,0,0,0,0,0,0,0,0",OK
61,2025-10-04,23:06:42,"0,0,0,0,0,0,0,0,0",OK
62,2025-10-04,23:06:46,"0,0,0,0,0,0,0,0,0",OK
63,2025-10-04,23:06:49,"0,0,0,0,0,0,0,0,0",OK
64,2025-10-04,23:06:52,"0,0,0,0,0,0,0,0,0",OK
65,2025-10-04,23:06:55,"0,0,0,0,0,0,0,0,0",OK
66,2025-10-04,23:06:57,"0,1,0,0,0,0,0,0,0",NG
67,2025-10-04,23:07:00,"0,0,0,0,0,0,0,0,0",OK
68,2025-10-04,23:07:01,"0,1,0,0,0,0,0,0,0",NG
69,2025-10-04,23:07:03,"0,0,0,0,0,0,0,0,0",OK
70,2025-10-04,23:07:04,"1,0,0,0,0,0,0,0,0",NG
71,2025-10-04,23:07:06,"0,0,0,0,0,0,0,0,0",OK
72,2025-10-04,23:07:07,"1,0,0,0,0,0,0,0,0",NG
73,2025-10-04,23:07:09,"0,0,0,0,0,0,0,0,0",OK
74,2025-10-04,23:07:10,"1,0,0,0,0,0,0,0,0",NG
75,2025-10-04,23:07:12,"0,0,0,0,0,0,0,0,0",OK
76,2025-10-04,23:07:14,"0,0,0,1,0,0,0,0,0",NG
77,2025-10-04,23:07:16,"0,0,0,0,0,0,0,0,0",OK
78,2025-10-04,23:07:18,"1,0,0,0,0,0,0,0,0",NG
79,2025-10-04,23:07:19,"0,0,0,0,0,0,0,0,0",OK
80,2025-10-04,23:07:20,"0,1,0,0,0,0,0,0,0",NG
81,2025-10-04,23:07:23,"0,0,0,0,0,0,0,0,0",OK
82,2025-10-04,23:07:24,"0,1,0,0,0,0,0,0,0",NG
83,2025-10-04,23:07:24,"0,0,0,0,0,0,0,0,0",OK
84,2025-10-04,23:07:25,"0,0,1,0,0,0,0,0,0",NG
85,2025-10-04,23:07:28,"0,0,0,0,0,0,0,0,0",OK
86,2025-10-04,23:07:29,"0,0,0,1,0,0,0,0,0",NG
87,2025-10-04,23:07:31,"0,0,0,0,0,0,0,0,0",OK
88,2025-10-04,23:07:33,"0,0,0,0,1,0,0,0,0",NG
89,2025-10-04,23:07:35,"0,0,0,0,0,0,0,0,0",OK
90,2025-10-04,23:07:36,"0,0,0,0,0,1,0,0,0",NG
91,2025-10-04,23:07:39,"0,0,0,0,0,0,0,0,0",OK
92,2025-10-04,23:07:41,"0,0,0,0,0,0,1,0,0",NG
93,2025-10-04,23:07:43,"0,0,0,0,0,0,0,0,0",OK
94,2025-10-04,23:07:50,"0,0,0,0,0,0,0,0,0",OK
95,2025-10-04,23:07:58,"0,0,0,0,0,0,1,0,0",NG
96,2025-10-04,23:07:59,"0,0,0,0,0,0,0,0,0",OK
97,2025-10-04,23:08:05,"0,0,0,0,0,0,0,1,0",NG
98,2025-10-04,23:08:09,"0,0,0,0,0,0,0,0,0",OK
99,2025-10-04,23:08:19,"0,0,0,0,0,0,0,0,0",OK
100,2025-10-04,23:08:21,"0,0,0,0,0,0,0,0,1",NG
101,2025-10-04,23:08:23,"0,0,0,0,0,0,0,0,0",OK
102,2025-10-04,23:11:36,"0,0,0,0,0,1,0,0,0",NG
103,2025-10-04,23:11:38,"0,0,0,0,0,0,0,0,0",OK
104,2025-10-04,23:11:40,"0,0,0,0,0,1,0,0,0",NG
105,2025-10-04,23:11:42,"0,0,0,0,0,0,0,0,0",OK
106,2025-10-04,23:11:44,"0,0,0,0,0,1,0,0,0",NG
107,2025-10-04,23:11:45,"0,0,0,0,0,0,0,0,0",OK
